eps,shape,dist,mode,epoch,sigma
0.2,r0.2_0,0.19490173266721242,scratch,0,0.5145256519317627
0.2,r0.2_0,0.19490173266721242,scratch,1,0.30106109380722046
0.2,r0.2_0,0.19490173266721242,scratch,2,0.2740629017353058
0.2,r0.2_0,0.19490173266721242,scratch,3,0.2421460598707199
0.2,r0.2_0,0.19490173266721242,scratch,4,0.20454956591129303
0.2,r0.2_0,0.19490173266721242,scratch,5,0.18440863490104675
0.2,r0.2_0,0.19490173266721242,scratch,6,0.16679908335208893
0.2,r0.2_0,0.19490173266721242,scratch,7,0.1551993191242218
0.2,r0.2_0,0.19490173266721242,scratch,8,0.1422237753868103
0.2,r0.2_0,0.19490173266721242,scratch,9,0.13714410364627838
0.2,r0.2_0,0.19490173266721242,scratch,10,0.13012313842773438
0.2,r0.2_0,0.19490173266721242,scratch,11,0.12627485394477844
0.2,r0.2_0,0.19490173266721242,scratch,12,0.11611228436231613
0.2,r0.2_0,0.19490173266721242,scratch,13,0.11551533639431
0.2,r0.2_0,0.19490173266721242,scratch,14,0.11343391239643097
0.2,r0.2_0,0.19490173266721242,scratch,15,0.11792352050542831
0.2,r0.2_0,0.19490173266721242,scratch,16,0.10883087664842606
0.2,r0.2_0,0.19490173266721242,scratch,17,0.10865725576877594
0.2,r0.2_0,0.19490173266721242,scratch,18,0.11011330038309097
0.2,r0.2_0,0.19490173266721242,scratch,19,0.10688994824886322
0.2,r0.2_0,0.19490173266721242,scratch,20,0.10702012479305267
0.2,r0.2_0,0.19490173266721242,scratch,21,0.09933289885520935
0.2,r0.2_0,0.19490173266721242,scratch,22,0.10411449521780014
0.2,r0.2_0,0.19490173266721242,scratch,23,0.10649608075618744
0.2,r0.2_0,0.19490173266721242,scratch,24,0.09514399617910385
0.2,r0.2_0,0.19490173266721242,scratch,25,0.09609773010015488
0.2,r0.2_0,0.19490173266721242,scratch,26,0.09882514923810959
0.2,r0.2_0,0.19490173266721242,scratch,27,0.09386835247278214
0.2,r0.2_0,0.19490173266721242,scratch,28,0.09322141855955124
0.2,r0.2_0,0.19490173266721242,scratch,29,0.09222937375307083
0.2,r0.2_0,0.19490173266721242,scratch,30,0.09483540058135986
0.2,r0.2_0,0.19490173266721242,scratch,31,0.09526312351226807
0.2,r0.2_0,0.19490173266721242,scratch,32,0.08750468492507935
0.2,r0.2_0,0.19490173266721242,scratch,33,0.08721712231636047
0.2,r0.2_0,0.19490173266721242,scratch,34,0.08542356640100479
0.2,r0.2_0,0.19490173266721242,scratch,35,0.0936817154288292
0.2,r0.2_0,0.19490173266721242,scratch,36,0.08399573713541031
0.2,r0.2_0,0.19490173266721242,scratch,37,0.0869055986404419
0.2,r0.2_0,0.19490173266721242,scratch,38,0.08587737381458282
0.2,r0.2_0,0.19490173266721242,scratch,39,0.08220533281564713
0.2,r0.2_0,0.19490173266721242,scratch,40,0.08464300632476807
0.2,r0.2_0,0.19490173266721242,scratch,41,0.08762827515602112
