group,shape,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
heldB,heldB_0,spec-B,0.05284709855914116,0.03105345368385315,0.030893666669726372,0.029188279062509537,0.027900267392396927,0.028294000774621964,0.02736796997487545,0.026364188641309738,0.02620968036353588,0.025758201256394386,0.025945860892534256
heldB,heldB_1,scratch,0.5139684081077576,0.30750417709350586,0.2966505289077759,0.27198532223701477,0.24790436029434204,0.23243002593517303,0.214821457862854,0.19869892299175262,0.18629439175128937,0.17751552164554596,0.16876886785030365
heldB,heldB_1,GP,0.697184681892395,0.18933434784412384,0.1567319929599762,0.14123396575450897,0.13179370760917664,0.1253034621477127,0.1219300702214241,0.11832578480243683,0.11595874279737473,0.1144242137670517,0.11329548060894012
heldB,heldB_1,spec-B,0.05612850561738014,0.03152047470211983,0.02941942773759365,0.02851078100502491,0.02811412699520588,0.027064524590969086,0.026015279814600945,0.02562347613275051,0.02517026476562023,0.02546599879860878,0.025301430374383926
heldB,heldB_2,scratch,0.549428403377533,0.3261760473251343,0.2981143593788147,0.2719650864601135,0.2525303363800049,0.23784491419792175,0.2168586552143097,0.20179462432861328,0.1894807666540146,0.18041272461414337,0.17450885474681854
heldB,heldB_2,GP,0.687884509563446,0.18756051361560822,0.15610870718955994,0.14083288609981537,0.13173089921474457,0.12561781704425812,0.12208513170480728,0.11864030361175537,0.1163618341088295,0.11530128866434097,0.11348453909158707
heldB,heldB_2,spec-B,0.05923617631196976,0.0294343288987875,0.029149102047085762,0.028970079496502876,0.026984496042132378,0.02641346864402294,0.02626594342291355,0.025490354746580124,0.025240719318389893,0.024955041706562042,0.025116318836808205
heldC,heldC_0,scratch,0.5136512517929077,0.29828009009361267,0.28796690702438354,0.262979120016098,0.2462073117494583,0.22610121965408325,0.20125895738601685,0.18501895666122437,0.17634065449237823,0.1663305014371872,0.16104617714881897
heldC,heldC_0,GP,0.6306349635124207,0.17650476098060608,0.14705267548561096,0.13320423662662506,0.12512001395225525,0.11885141581296921,0.11514077335596085,0.1117422878742218,0.1099826917052269,0.1079653725028038,0.10693181306123734
heldC,heldC_0,spec-C,0.042731549590826035,0.030466649681329727,0.028532933443784714,0.02741265296936035,0.026824800297617912,0.026051828637719154,0.025403613224625587,0.024959977716207504,0.02491941675543785,0.02472650445997715,0.02467593178153038
