eps,shape,recipe_dist,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
0.02,r0.02_0,0.01995083348334173,warm,0.03667914494872093,0.02743334323167801,0.027191054075956345,0.025891097262501717,0.02622808888554573,0.024973943829536438,0.024000143632292747,0.024094905704259872,0.024015039205551147,0.02363019809126854,0.023570340126752853
0.02,r0.02_0,0.01995083348334173,scratch,0.5196516513824463,0.30122944712638855,0.2845243513584137,0.2644047439098358,0.2444133758544922,0.23013608157634735,0.20882770419120789,0.194194033741951,0.1852298229932785,0.17562735080718994,0.1695438027381897
0.02,r0.02_1,0.02000060426510498,warm,0.037706609815359116,0.028767243027687073,0.028125373646616936,0.02629554457962513,0.024324961006641388,0.023910705000162125,0.024369722232222557,0.023704228922724724,0.02318502403795719,0.023155152797698975,0.023075709119439125
0.02,r0.02_1,0.02000060426510498,scratch,0.5188319683074951,0.29310256242752075,0.28031402826309204,0.26054272055625916,0.2452244907617569,0.22637760639190674,0.21106268465518951,0.19360192120075226,0.18233168125152588,0.17181283235549927,0.1649632602930069
0.05,r0.05_0,0.04976233735833335,warm,0.045617543160915375,0.031851205974817276,0.028535597026348114,0.02850264124572277,0.026846924796700478,0.02678416110575199,0.026419254019856453,0.02584322728216648,0.025966644287109375,0.02552299201488495,0.025400368496775627
0.05,r0.05_0,0.04976233735833335,scratch,0.5166043043136597,0.2921786904335022,0.27609461545944214,0.24972307682037354,0.22882159054279327,0.2120344340801239,0.1966368556022644,0.18189170956611633,0.1708092838525772,0.16524629294872284,0.15734316408634186
0.05,r0.05_1,0.050001570530499743,warm,0.048857681453228,0.03052375465631485,0.03048780933022499,0.028675302863121033,0.02742970548570156,0.026412483304739,0.025917207822203636,0.025845477357506752,0.02585579827427864,0.025373468175530434,0.025588303804397583
0.05,r0.05_1,0.050001570530499743,scratch,0.5092650055885315,0.3002298176288605,0.2797398865222931,0.26686719059944153,0.24316708743572235,0.22775623202323914,0.21053482592105865,0.1955449879169464,0.18524713814258575,0.17379669845104218,0.1659047156572342
0.1,r0.1_0,0.09899956112670859,warm,0.07114464789628983,0.03723885864019394,0.034905415028333664,0.033507853746414185,0.03149254992604256,0.031001674011349678,0.03105844371020794,0.02958802506327629,0.02973089925944805,0.02937719039618969,0.029384423047304153
0.1,r0.1_0,0.09899956112670859,scratch,0.5156126618385315,0.29942938685417175,0.27877676486968994,0.25306427478790283,0.23849129676818848,0.21657849848270416,0.20171335339546204,0.19003045558929443,0.18020735681056976,0.17084570229053497,0.16468477249145508
0.1,r0.1_1,0.09985378452020942,warm,0.07579241693019867,0.03717932477593422,0.03445424139499664,0.03266221657395363,0.031740084290504456,0.03139635547995567,0.03015131875872612,0.030272459611296654,0.02956393174827099,0.029345804825425148,0.029477283358573914
0.1,r0.1_1,0.09985378452020942,scratch,0.5460473299026489,0.29582124948501587,0.27985334396362305,0.2543489933013916,0.23721843957901,0.2224465161561966,0.20557352900505066,0.1900385320186615,0.17793869972229004,0.16902852058410645,0.1619601994752884
0.2,r0.2_0,0.19490173266721242,warm,0.12661311030387878,0.05595816671848297,0.0501500628888607,0.046673744916915894,0.04459061473608017,0.04346209019422531,0.0421607606112957,0.04181675612926483,0.04131102189421654,0.04071015119552612,0.0405551940202713
0.2,r0.2_0,0.19490173266721242,scratch,0.5222153663635254,0.3053130507469177,0.288566529750824,0.2621360123157501,0.24779486656188965,0.22521278262138367,0.2120034396648407,0.19779880344867706,0.18721067905426025,0.17871928215026855,0.17188464105129242
0.2,r0.2_1,0.19802007587885373,warm,0.12915636599063873,0.05574886128306389,0.04884874075651169,0.04472372308373451,0.04327870160341263,0.04088694229722023,0.04048973694443703,0.03956126794219017,0.038984622806310654,0.03881319612264633,0.038449663668870926
0.2,r0.2_1,0.19802007587885373,scratch,0.5329403877258301,0.292633056640625,0.27491986751556396,0.25252512097358704,0.24086366593837738,0.21949923038482666,0.20382297039031982,0.18880631029605865,0.17481890320777893,0.16532407701015472,0.15815703570842743
0.4,r0.4_0,0.3710101297735811,warm,0.23888163268566132,0.09571459144353867,0.08106157183647156,0.07485313713550568,0.07249284535646439,0.06882968544960022,0.06764351576566696,0.06590340286493301,0.06446129828691483,0.06392335146665573,0.06343120336532593
0.4,r0.4_0,0.3710101297735811,scratch,0.5097783803939819,0.3027937114238739,0.28255701065063477,0.25415223836898804,0.2362961769104004,0.21591944992542267,0.20037910342216492,0.1855209469795227,0.17612971365451813,0.16922451555728912,0.16330023109912872
0.4,r0.4_1,0.38168979305953066,warm,0.22555997967720032,0.09205836057662964,0.0779157504439354,0.07144591957330704,0.06698934733867645,0.06430555880069733,0.06288488954305649,0.06098949909210205,0.05955156311392784,0.058925990015268326,0.058234769850969315
0.4,r0.4_1,0.38168979305953066,scratch,0.5319980382919312,0.288939505815506,0.2628769278526306,0.24415290355682373,0.2232154905796051,0.20642903447151184,0.19070062041282654,0.17642180621623993,0.1647542417049408,0.15627846121788025,0.15071158111095428
0.8,r0.8_0,0.6431156811554433,warm,0.3894740045070648,0.1466379016637802,0.12018019706010818,0.10856196284294128,0.10298043489456177,0.0984063595533371,0.09452458471059799,0.09272360801696777,0.09104570001363754,0.08968423306941986,0.08888523280620575
0.8,r0.8_0,0.6431156811554433,scratch,0.4749481678009033,0.30079522728919983,0.2864103615283966,0.2659701108932495,0.24370309710502625,0.22348855435848236,0.2107999175786972,0.19624175131320953,0.1856151670217514,0.17816589772701263,0.17154830694198608
0.8,r0.8_1,0.6716517889369059,warm,0.3731924593448639,0.14109627902507782,0.11852884292602539,0.10857342928647995,0.10114255547523499,0.09618671983480453,0.09315400570631027,0.09090955555438995,0.08936332911252975,0.08790892362594604,0.08685753494501114
0.8,r0.8_1,0.6716517889369059,scratch,0.539912223815918,0.2865884006023407,0.2662021219730377,0.25023823976516724,0.23774223029613495,0.21724668145179749,0.19671723246574402,0.18146564066410065,0.16817502677440643,0.16082172095775604,0.15361593663692474
