group,shape,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
heldA,heldA_0,scratch,0.5248593091964722,0.29387328028678894,0.2736634910106659,0.25903812050819397,0.23411445319652557,0.21801823377609253,0.19776462018489838,0.18436627089977264,0.17476756870746613,0.16663657128810883,0.15988613665103912
heldA,heldA_0,warm-A (routed),0.05061192438006401,0.029867738485336304,0.028948284685611725,0.027276838198304176,0.02720707468688488,0.026820670813322067,0.025838788598775864,0.02557978220283985,0.025054242461919785,0.024951597675681114,0.024801835417747498
heldA,heldA_0,warm-B (other),0.67988520860672,0.1778949797153473,0.1448022872209549,0.1317242830991745,0.12419246137142181,0.11707735061645508,0.11378544569015503,0.1113099455833435,0.1086667850613594,0.10719732195138931,0.10599269717931747
heldA,heldA_1,scratch,0.51436847448349,0.3009563088417053,0.2875666916370392,0.26236724853515625,0.2455337792634964,0.22868523001670837,0.21282079815864563,0.19679422676563263,0.18902473151683807,0.18154945969581604,0.17418436706066132
heldA,heldA_1,warm-B (routed),0.6740776896476746,0.18162746727466583,0.1500737965106964,0.13608554005622864,0.12659952044487,0.12029960006475449,0.1160796657204628,0.1128997951745987,0.11104612797498703,0.10931995511054993,0.1078108623623848
heldA,heldA_1,warm-A (other),0.05027556046843529,0.03089236095547676,0.0305570587515831,0.029031097888946533,0.028217457234859467,0.027466950938105583,0.027119794860482216,0.0264444462954998,0.026259947568178177,0.025874463841319084,0.025851773098111153
heldA,heldA_2,scratch,0.5095880627632141,0.29677554965019226,0.2827311158180237,0.2674662470817566,0.24740424752235413,0.22657015919685364,0.20575912296772003,0.19349390268325806,0.18243925273418427,0.17164209485054016,0.1648092269897461
heldA,heldA_2,warm-B (routed),0.6903435587882996,0.18061643838882446,0.14890098571777344,0.13302667438983917,0.12526054680347443,0.11890353262424469,0.11496927589178085,0.11245915293693542,0.11020059883594513,0.10886847227811813,0.10727997869253159
heldA,heldA_2,warm-A (other),0.05055250972509384,0.032719917595386505,0.028687981888651848,0.028505507856607437,0.027164384722709656,0.0259584691375494,0.02568908967077732,0.02514704503118992,0.025243036448955536,0.024804381653666496,0.024993231520056725
heldB,heldB_0,scratch,0.5429149866104126,0.29642441868782043,0.28228551149368286,0.26543188095092773,0.24816323816776276,0.2239668220281601,0.2030562460422516,0.18895410001277924,0.1762927621603012,0.16776195168495178,0.16180549561977386
heldB,heldB_0,warm-B (routed),0.05284709855914116,0.032071977853775024,0.029471589252352715,0.028995878994464874,0.02792084589600563,0.027367468923330307,0.02680814079940319,0.026466399431228638,0.02612963691353798,0.026110604405403137,0.02595479227602482
heldB,heldB_0,warm-A (other),0.6812516450881958,0.18707092106342316,0.1540098935365677,0.1395980566740036,0.13147364556789398,0.12488847225904465,0.12036404013633728,0.11797255277633667,0.11522388458251953,0.11355163156986237,0.1115381270647049
heldB,heldB_1,scratch,0.5515081882476807,0.3092353641986847,0.28560981154441833,0.27570730447769165,0.2527042329311371,0.23617927730083466,0.21422089636325836,0.19621984660625458,0.18445152044296265,0.17578595876693726,0.1691983938217163
heldB,heldB_1,warm-B (routed),0.05612850561738014,0.030405530706048012,0.02990393526852131,0.028060661628842354,0.027322817593812943,0.026105476543307304,0.025981184095144272,0.02600800432264805,0.02547924779355526,0.025284169241786003,0.025046909227967262
heldB,heldB_1,warm-A (other),0.697184681892395,0.19058360159397125,0.15703102946281433,0.13988378643989563,0.13145151734352112,0.1255112886428833,0.12161365151405334,0.11836664378643036,0.116523377597332,0.11469031125307083,0.11288587749004364
heldB,heldB_2,scratch,0.5354498028755188,0.3022715747356415,0.2868213653564453,0.2711838185787201,0.2510946989059448,0.23108753561973572,0.21632175147533417,0.20318736135959625,0.18966951966285706,0.18060775101184845,0.17210131883621216
heldB,heldB_2,warm-B (routed),0.05923617631196976,0.03076069988310337,0.0287339948117733,0.028608432039618492,0.02685302123427391,0.025927159935235977,0.02544635906815529,0.02546243742108345,0.025019362568855286,0.024926025420427322,0.024846162647008896
heldB,heldB_2,warm-A (other),0.687884509563446,0.1870499700307846,0.15632693469524384,0.14034946262836456,0.13042333722114563,0.12395530194044113,0.11999739706516266,0.11728066205978394,0.11535228043794632,0.11333779245615005,0.11245179921388626
stranger,strange_0,scratch,0.5337858200073242,0.2988051474094391,0.28435856103897095,0.2641492486000061,0.24511785805225372,0.2266567200422287,0.2110832929611206,0.19776254892349243,0.18704459071159363,0.1775917410850525,0.17058014869689941
stranger,strange_0,warm-B (routed),0.5725625157356262,0.17802993953227997,0.1462508887052536,0.13269010186195374,0.12526725232601166,0.11980735510587692,0.11577548086643219,0.11256272345781326,0.11115977168083191,0.10909361392259598,0.10811948031187057
stranger,strange_0,warm-A (other),0.6931158900260925,0.18975672125816345,0.15736785531044006,0.14345453679561615,0.1331055462360382,0.12616443634033203,0.12243089824914932,0.11976083368062973,0.11696735769510269,0.1153825893998146,0.11422064155340195
stranger,strange_1,scratch,0.467588871717453,0.2830255329608917,0.257636159658432,0.24170735478401184,0.22638919949531555,0.20238569378852844,0.18830306828022003,0.17791947722434998,0.16813626885414124,0.16006921231746674,0.15446625649929047
stranger,strange_1,warm-A (routed),0.5767374634742737,0.1693502515554428,0.14189298450946808,0.12741893529891968,0.11826729029417038,0.1134917214512825,0.10964801907539368,0.10673381388187408,0.10500667244195938,0.10328102111816406,0.10194404423236847
stranger,strange_1,warm-B (other),0.5371077060699463,0.17137928307056427,0.1411675661802292,0.12646439671516418,0.11855769902467728,0.11450466513633728,0.1104823425412178,0.10732872784137726,0.10506118088960648,0.10372015088796616,0.10200656205415726
stranger,strange_2,scratch,0.5028216242790222,0.3080745041370392,0.2843659818172455,0.26569458842277527,0.23875892162322998,0.2239815890789032,0.20374253392219543,0.19228796660900116,0.18214824795722961,0.17535926401615143,0.16913644969463348
