eps,shape,recipe_dist,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
0.02,r0.02_0,0.019986554769923143,warm,0.03620035946369171,0.028386954218149185,0.02721938118338585,0.02485990896821022,0.023771796375513077,0.02396182157099247,0.02333587221801281,0.023416513577103615,0.022884482517838478,0.022691870108246803,0.02290898934006691
0.02,r0.02_0,0.019986554769923143,scratch,0.4910486340522766,0.2766713798046112,0.25611740350723267,0.2374565452337265,0.2217545062303543,0.20175966620445251,0.18826830387115479,0.17520718276500702,0.16557681560516357,0.15786078572273254,0.15173470973968506
0.02,r0.02_1,0.01999930174286704,warm,0.03751311078667641,0.027284041047096252,0.026200897991657257,0.025079909712076187,0.02416105754673481,0.02371625229716301,0.023568440228700638,0.02299327775835991,0.022683529183268547,0.022701261565089226,0.02275967411696911
0.02,r0.02_1,0.01999930174286704,scratch,0.49623140692710876,0.28118008375167847,0.26269546151161194,0.24530893564224243,0.23383088409900665,0.2129250168800354,0.19721926748752594,0.18505257368087769,0.17437779903411865,0.16559794545173645,0.1619175374507904
0.05,r0.05_0,0.04990023302239902,warm,0.04308127239346504,0.029606616124510765,0.02726900950074196,0.02583199553191662,0.025386901572346687,0.024690885096788406,0.02479427494108677,0.024272119626402855,0.02401227131485939,0.0240870863199234,0.023953871801495552
0.05,r0.05_0,0.04990023302239902,scratch,0.48277488350868225,0.27979767322540283,0.2536547780036926,0.2447817176580429,0.22358456254005432,0.20917023718357086,0.19473868608474731,0.18336349725723267,0.17337287962436676,0.16659581661224365,0.15984240174293518
0.05,r0.05_1,0.04996936701754167,warm,0.04534677416086197,0.02986907958984375,0.02730655111372471,0.025891996920108795,0.026151414960622787,0.025157209485769272,0.024730663746595383,0.024297770112752914,0.024602703750133514,0.02429776079952717,0.024126581847667694
0.05,r0.05_1,0.04996936701754167,scratch,0.4832228124141693,0.2876550555229187,0.2626064121723175,0.24612241983413696,0.23144932091236115,0.21886570751667023,0.20901532471179962,0.19926974177360535,0.18297764658927917,0.17597632110118866,0.1701279729604721
0.1,r0.1_0,0.09943351325188635,warm,0.06407573074102402,0.033797621726989746,0.031967610120773315,0.02996371127665043,0.02895308844745159,0.028192656114697456,0.02755790762603283,0.027309315279126167,0.027412673458456993,0.02720917947590351,0.02684980072081089
0.1,r0.1_0,0.09943351325188635,scratch,0.4920365512371063,0.28958868980407715,0.25935521721839905,0.2452341765165329,0.2247477024793625,0.20797225832939148,0.19265730679035187,0.18022651970386505,0.17044112086296082,0.161265030503273,0.1571941375732422
